Enter the population of the system:- Enter the total time of simulation:- Enter the distance matrix:-
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
Enter buffer size of each node:- 
1 = 2 = 3 = 4 = 5 = 6 = 7 = 8 = 9 = 10 = 11 = 12 = 13 = 14 = 15 = 16 = 17 = 18 = 19 = 20 = 21 = 22 = 23 = 24 = 25 = 26 = 27 = 28 = 29 = 30 = 31 = 32 = 33 = 34 = 35 = 36 = 37 = 38 = 39 = 40 = 41 = 42 = 43 = 44 = 45 = 46 = 47 = 48 = 49 = 50 = Enter number of source nodes:- Source: 33 Destination: 36
Source: 37 Destination: 5
Source: 17 Destination: 31
Source: 16 Destination: 3
Source: 11 Destination: 1
Source: 32 Destination: 22
Source: 38 Destination: 3
Source: 40 Destination: 35
Source: 24 Destination: 36
Source: 3 Destination: 13
Source: 8 Destination: 7
Source: 29 Destination: 5
Source: 6 Destination: 7
Source: 18 Destination: 11
Source: 5 Destination: 18
Source: 2 Destination: 8
Source: 10 Destination: 21
Source: 21 Destination: 15
Source: 23 Destination: 24
Source: 26 Destination: 20
Action	time	pktId	Src	Des	Cur	NH	State
a	0.01	1	2	8	2	5	S
-	0.01	1	2	8	2	5	S
a	0.01	1	3	13	3	4	S
-	0.01	1	3	13	3	4	S
a	0.01	1	5	18	5	42	S
-	0.01	1	5	18	5	42	S
a	0.01	1	6	7	6	43	S
-	0.01	1	6	7	6	43	S
a	0.01	1	8	7	8	16	S
-	0.01	1	8	7	8	16	S
a	0.01	1	10	21	10	21	S
-	0.01	1	10	21	10	21	S
a	0.01	1	11	1	11	14	S
-	0.01	1	11	1	11	14	S
a	0.01	1	16	3	16	5	S
-	0.01	1	16	3	16	5	S
a	0.01	1	17	31	17	0	S
-	0.01	1	17	31	17	0	S
a	0.01	1	18	11	18	29	S
-	0.01	1	18	11	18	29	S
a	0.01	1	21	15	21	15	S
-	0.01	1	21	15	21	15	S
a	0.01	1	23	24	23	12	S
-	0.01	1	23	24	23	12	S
a	0.01	1	24	36	24	19	S
-	0.01	1	24	36	24	19	S
a	0.01	1	26	20	26	27	S
-	0.01	1	26	20	26	27	S
a	0.01	1	29	5	29	18	S
-	0.01	1	29	5	29	18	S
a	0.01	1	32	22	32	21	S
-	0.01	1	32	22	32	21	S
a	0.01	1	33	36	33	21	S
-	0.01	1	33	36	33	21	S
a	0.01	1	37	5	37	21	S
-	0.01	1	37	5	37	21	S
a	0.01	1	38	3	38	5	S
-	0.01	1	38	3	38	5	S
a	0.01	1	40	35	40	19	S
-	0.01	1	40	35	40	19	S
+	0.015	1	2	8	5	42	S
+	0.015	0	3	13	4	10	S
+	0.015	0	5	18	42	18	S
+	0.015	0	6	7	43	7	S
+	0.015	1	8	7	16	39	S
r	0.015	1	10	21	21	21	S
+	0.015	0	11	1	14	48	S
+	0.015	1	16	3	5	3	S
+	0.015	0	17	31	0	34	S
+	0.015	1	18	11	29	11	S
r	0.015	0	21	15	15	15	S
+	0.015	0	23	24	12	27	S
+	0.015	0	24	36	19	35	S
+	0.015	0	26	20	27	20	S
+	0.015	1	29	5	18	42	S
+	0.015	1	32	22	21	10	S
+	0.015	1	33	36	21	16	S
+	0.015	1	37	5	21	39	S
+	0.015	1	38	3	5	3	S
+	0.015	0	40	35	19	35	S
-	0.015	0	17	31	0	34	S
-	0.015	0	3	13	4	10	S
-	0.015	1	2	8	5	42	S
-	0.015	0	23	24	12	27	S
-	0.015	0	11	1	14	48	S
-	0.015	1	8	7	16	39	S
-	0.015	1	29	5	18	42	S
-	0.015	0	24	36	19	35	S
-	0.015	1	32	22	21	10	S
-	0.015	0	26	20	27	20	S
-	0.015	1	18	11	29	11	S
-	0.015	0	5	18	42	18	S
-	0.015	0	6	7	43	7	S
+	0.02	0	17	31	34	31	S
+	0.02	1	3	13	10	13	S
+	0.02	0	2	8	42	8	S
+	0.02	0	23	24	27	24	S
+	0.02	0	11	1	48	1	S
+	0.02	0	8	7	39	43	S
+	0.02	0	29	5	42	5	S
+	0.02	0	24	36	35	36	S
+	0.02	1	32	22	10	22	S
r	0.02	0	26	20	20	20	S
r	0.02	1	18	11	11	11	S
r	0.02	1	5	18	18	18	S
r	0.02	0	6	7	7	7	S
a	0.02	2	2	8	2	5	S
-	0.02	2	2	8	2	5	S
a	0.02	2	3	13	3	4	S
-	0.02	2	3	13	3	4	S
a	0.02	2	5	18	5	42	S
-	0.02	2	16	3	5	3	S
a	0.02	2	6	7	6	43	S
-	0.02	2	6	7	6	43	S
a	0.02	2	8	7	8	16	S
-	0.02	2	8	7	8	16	S
a	0.02	2	10	21	10	21	S
-	0.02	2	3	13	10	13	S
a	0.02	2	11	1	11	14	S
-	0.02	2	11	1	11	14	S
a	0.02	2	16	3	16	5	S
-	0.02	2	16	3	16	5	S
