Enter the population of the system:- Enter the total time of simulation:- Enter the distance matrix:-
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
Enter buffer size of each node:- 
1 = 2 = 3 = 4 = 5 = 6 = 7 = 8 = 9 = 10 = 11 = 12 = 13 = 14 = 15 = 16 = 17 = 18 = 19 = 20 = 21 = 22 = 23 = 24 = 25 = 26 = 27 = 28 = 29 = 30 = 31 = 32 = 33 = 34 = 35 = 36 = 37 = 38 = 39 = 40 = 41 = 42 = 43 = 44 = 45 = 46 = 47 = 48 = 49 = 50 = Enter number of source nodes:- Source: 33 Destination: 36
Source: 27 Destination: 15
Source: 43 Destination: 35
Source: 36 Destination: 42
Source: 49 Destination: 21
Source: 12 Destination: 27
Source: 40 Destination: 9
Action	time	pktId	Src	Des	Cur	NH	State
a	0.01	1	12	27	12	27	S
-	0.01	1	12	27	12	27	S
a	0.01	1	27	15	27	0	S
-	0.01	1	27	15	27	0	S
a	0.01	1	33	36	33	21	S
-	0.01	1	33	36	33	21	S
a	0.01	1	36	42	36	42	S
-	0.01	1	36	42	36	42	S
a	0.01	1	40	9	40	11	S
-	0.01	1	40	9	40	11	S
a	0.01	1	43	35	43	39	S
-	0.01	1	43	35	43	39	S
a	0.01	1	49	21	49	17	S
-	0.01	1	49	21	49	17	S
r	0.015	1	12	27	27	27	S
+	0.015	1	27	15	0	21	S
+	0.015	1	33	36	21	16	S
r	0.015	1	36	42	42	42	S
+	0.015	1	40	9	11	9	S
+	0.015	1	43	35	39	44	S
+	0.015	1	49	21	17	38	S
-	0.015	1	27	15	0	21	S
-	0.015	1	40	9	11	9	S
-	0.015	1	49	21	17	38	S
-	0.015	1	33	36	21	16	S
-	0.015	1	43	35	39	44	S
+	0.02	1	27	15	21	15	S
r	0.02	1	40	9	9	9	S
+	0.02	1	49	21	38	21	S
+	0.02	1	33	36	16	8	S
+	0.02	1	43	35	44	47	S
a	0.02	2	12	27	12	27	S
-	0.02	2	12	27	12	27	S
a	0.02	2	27	15	27	0	S
-	0.02	2	27	15	27	0	S
a	0.02	2	33	36	33	21	S
-	0.02	2	33	36	33	21	S
a	0.02	2	36	42	36	42	S
-	0.02	2	36	42	36	42	S
a	0.02	2	40	9	40	11	S
-	0.02	2	40	9	40	11	S
a	0.02	2	43	35	43	39	S
-	0.02	2	43	35	43	39	S
a	0.02	2	49	21	49	17	S
-	0.02	2	49	21	49	17	S
r	0.025	2	12	27	27	27	S
+	0.025	2	27	15	0	21	S
+	0.025	2	33	36	21	16	S
r	0.025	2	36	42	42	42	S
+	0.025	2	40	9	11	9	S
+	0.025	2	43	35	39	44	S
+	0.025	2	49	21	17	38	S
-	0.025	2	27	15	0	21	S
-	0.025	2	40	9	11	9	S
-	0.025	1	33	36	16	8	S
-	0.025	2	49	21	17	38	S
-	0.025	1	27	15	21	15	S
-	0.025	1	49	21	38	21	S
-	0.025	2	43	35	39	44	S
-	0.025	1	43	35	44	47	S
+	0.03	2	27	15	21	15	S
r	0.03	2	40	9	9	9	S
+	0.03	1	33	36	8	42	S
+	0.03	2	49	21	38	21	S
r	0.03	1	27	15	15	15	S
r	0.03	1	49	21	21	21	S
+	0.03	2	43	35	44	47	S
+	0.03	1	43	35	47	35	S
a	0.03	3	12	27	12	27	S
-	0.03	3	12	27	12	27	S
a	0.03	3	27	15	27	0	S
-	0.03	3	27	15	27	0	S
a	0.03	3	33	36	33	21	S
-	0.03	3	33	36	33	21	S
a	0.03	3	36	42	36	42	S
-	0.03	3	36	42	36	42	S
a	0.03	3	40	9	40	11	S
-	0.03	3	40	9	40	11	S
a	0.03	3	43	35	43	39	S
-	0.03	3	43	35	43	39	S
a	0.03	3	49	21	49	17	S
-	0.03	3	49	21	49	17	S
r	0.035	3	12	27	27	27	S
+	0.035	3	27	15	0	21	S
+	0.035	3	33	36	21	16	S
r	0.035	3	36	42	42	42	S
+	0.035	3	40	9	11	9	S
+	0.035	3	43	35	39	44	S
+	0.035	3	49	21	17	38	S
-	0.035	3	27	15	0	21	S
-	0.035	1	33	36	8	42	S
-	0.035	3	40	9	11	9	S
-	0.035	3	49	21	17	38	S
-	0.035	2	33	36	21	16	S
-	0.035	2	49	21	38	21	S
-	0.035	3	43	35	39	44	S
-	0.035	2	43	35	44	47	S
-	0.035	1	43	35	47	35	S
+	0.04	3	27	15	21	15	S
+	0.04	1	33	36	42	36	S
r	0.04	3	40	9	9	9	S
+	0.04	3	49	21	38	21	S
+	0.04	2	33	36	16	8	S
r	0.04	2	49	21	21	21	S
+	0.04	3	43	35	44	47	S
+	0.04	2	43	35	47	35	S
r	0.04	1	43	35	35	35	S
a	0.04	4	12	27	12	27	S
-	0.04	4	12	27	12	27	S
a	0.04	4	27	15	27	0	S
-	0.04	4	27	15	27	0	S
a	0.04	4	33	36	33	21	S
-	0.04	4	33	36	33	21	S
a	0.04	4	36	42	36	42	S
-	0.04	4	36	42	36	42	S
a	0.04	4	40	9	40	11	S
-	0.04	4	40	9	40	11	S
a	0.04	4	43	35	43	39	S
-	0.04	4	43	35	43	39	S
a	0.04	4	49	21	49	17	S
-	0.04	4	49	21	49	17	S
r	0.045	4	12	27	27	27	S
+	0.045	4	27	15	0	21	S
+	0.045	4	33	36	21	16	S
r	0.045	4	36	42	42	42	S
+	0.045	4	40	9	11	9	S
+	0.045	4	43	35	39	44	S
+	0.045	4	49	21	17	38	S
-	0.045	4	27	15	0	21	S
-	0.045	4	40	9	11	9	S
-	0.045	2	33	36	16	8	S
-	0.045	4	49	21	17	38	S
-	0.045	2	27	15	21	15	S
-	0.045	3	49	21	38	21	S
-	0.045	4	43	35	39	44	S
-	0.045	1	33	36	42	36	S
-	0.045	3	43	35	44	47	S
-	0.045	2	43	35	47	35	S
+	0.05	4	27	15	21	15	S
r	0.05	4	40	9	9	9	S
+	0.05	2	33	36	8	42	S
+	0.05	4	49	21	38	21	S
r	0.05	2	27	15	15	15	S
r	0.05	3	49	21	21	21	S
+	0.05	4	43	35	44	47	S
r	0.05	1	33	36	36	36	S
+	0.05	3	43	35	47	35	S
r	0.05	2	43	35	35	35	S
a	0.05	5	12	27	12	27	S
-	0.05	5	12	27	12	27	S
a	0.05	5	27	15	27	0	S
-	0.05	5	27	15	27	0	S
a	0.05	5	33	36	33	21	S
-	0.05	5	33	36	33	21	S
a	0.05	5	36	42	36	42	S
-	0.05	5	36	42	36	42	S
a	0.05	5	40	9	40	11	S
-	0.05	5	40	9	40	11	S
a	0.05	5	43	35	43	39	S
-	0.05	5	43	35	43	39	S
a	0.05	5	49	21	49	17	S
-	0.05	5	49	21	49	17	S
r	0.055	5	12	27	27	27	S
+	0.055	5	27	15	0	21	S
